repo_name,url,pulls_count_open,pulls_count_closed,issues_count_open,issues_count_closed,commits_count,branches_count,releases_count,owner_type,watchers_count,forks_count,stargazers_count,development_time,owner_account_age,avg_dev_account_age,has_test,has_doc,has_example,has_readme,owner_projects_count,owner_following,owner_followers,devs_followers_avg,devs_following_avg,commits_by_dev_with_most_commits,magnetism,stickiness,wealth,last_commit_age,productive_duration
cynicaloptimist/improved-initiative,https://github.com/cynicaloptimist/improved-initiative,1,12,2,14,34,43,1,1,248,84,248,2271,3133,2791.8333333333335,True,False,False,True,19,1,22,16.133333333333333,8.833333333333334,4390,0.3333333333333333,1.5,8.75,24,2351
padrino/padrino-static,https://github.com/padrino/padrino-static,0,3,0,3,503,1,0,0,17,9,17,3333,4288,4236.0,False,False,False,True,18,0,0,245.11111111111111,127.55555555555556,11,0.125,0.3333333333333333,0.5625,395,3333
robrich/gulp-exec,https://github.com/robrich/gulp-exec,0,4,2,5,22,1,0,1,162,20,162,2171,3805,3291.777777777778,True,False,False,True,186,0,268,333.55555555555554,16.333333333333332,47,1.5,1.0,3.5,427,2171
jsiwek/actor-framework,https://github.com/jsiwek/actor-framework,2,1,2,3,4,24,0,1,2,0,2,3568,3967,3095.9661016949153,True,True,True,True,63,0,82,56.559322033898304,13.847457627118644,4573,0.14285714285714285,2.0,1.0,243,3568
3lvis/DATAStack,https://github.com/3lvis/DATAStack,0,0,0,0,168,7,0,1,214,39,214,2390,3604,3224.75,False,False,False,True,51,0,741,282.75,21.083333333333332,415,0.1111111111111111,1.0,0.0,309,2390
cmsgears/module-core,https://github.com/cmsgears/module-core,0,0,0,0,47,2,0,0,4,0,4,2201,2355,2432.0,False,True,False,True,71,0,0,1.0,5.333333333333333,349,0.1111111111111111,0.0,0.0,142,2201
KDE/symboleditor,https://github.com/KDE/symboleditor,0,0,0,0,46,5,0,0,2,0,2,2654,2155,2864.5,False,True,False,False,1031,0,0,13.625,0.25,109,0.03333333333333333,3.0,0.0,78,2756
Kunstmaan/KunstmaanDashboardBundle,https://github.com/Kunstmaan/KunstmaanDashboardBundle,1,4,1,5,11,23,0,0,4,3,4,2655,3952,3362.913043478261,False,False,False,True,125,0,0,32.17391304347826,13.043478260869565,232,0.75,1.0,4.0,17,2723
network-box/yum-plugin-posttrans-triggers,https://github.com/network-box/yum-plugin-posttrans-triggers,1,79,9,89,80,1,44,0,0,1,0,3142,2758,3219.6666666666665,True,False,False,True,16,0,0,22.666666666666668,2.6666666666666665,100,0.17391304347826086,0.8125,75.34285714285714,295,3142
eugeniomiro/Terrarium,https://github.com/eugeniomiro/Terrarium,0,129,0,129,568,3,0,1,7,10,7,2534,4872,3518.3333333333335,False,False,False,True,47,51,26,10.0,17.666666666666668,107,0.037484885126964934,1.2903225806451613,130.0,480,2534
phatworx/devise_security_extension,https://github.com/phatworx/devise_security_extension,2,435,2,491,1361,4,21,0,731,331,731,3564,3832,4130.690476190476,True,False,False,True,16,0,0,45.0,22.761904761904763,119,0.5,0.45454545454545453,418.2027528027527,267,3564
tkurze/devstack,https://github.com/tkurze/devstack,2,1,2,3,4,4,0,1,0,0,0,3619,3416,3454.159468438538,True,True,False,True,43,4,0,63.74750830564784,9.445182724252492,3680,0.14285714285714285,2.0,1.0,1,3676
devinacker/omgifol,https://github.com/devinacker/omgifol,0,0,0,0,168,4,0,1,54,14,54,2634,2989,3754.0,False,False,False,True,57,21,83,94.6,39.8,46,0.1111111111111111,1.0,0.0,159,2634
3lvis/DATAStack,https://github.com/3lvis/DATAStack,0,0,0,0,47,7,0,1,214,39,214,2390,3604,3225.4166666666665,False,False,False,True,51,0,741,282.9166666666667,21.083333333333332,415,0.1111111111111111,0.0,0.0,309,2390
cmsgears/module-core,https://github.com/cmsgears/module-core,0,0,0,0,46,2,0,0,4,0,4,2201,2355,2432.3333333333335,False,True,False,True,71,0,0,1.0,5.333333333333333,349,0.03333333333333333,3.0,0.0,142,2201
KDE/symboleditor,https://github.com/KDE/symboleditor,1,4,1,5,11,5,0,0,2,0,2,2654,2156,2865.125,False,True,False,False,1032,0,0,13.625,0.25,109,0.75,1.0,4.0,78,2756
jeffp42ker/overtone,https://github.com/jeffp42ker/overtone,0,0,0,0,23,12,0,1,0,0,0,3991,2972,3909.4590163934427,True,True,True,True,32,22,4,128.44262295081967,26.295081967213115,1902,0.1875,1.0,0.0,351,3991
eugeniomiro/Terrarium,https://github.com/eugeniomiro/Terrarium,0,129,0,129,568,3,0,1,7,10,7,2534,4872,3519.0,False,False,False,True,47,51,26,10.0,17.666666666666668,107,0.037484885126964934,1.2903225806451613,130.0,481,2534
phatworx/devise_security_extension,https://github.com/phatworx/devise_security_extension,2,435,2,491,1361,4,21,0,731,331,731,3564,3832,4131.0,True,False,False,True,16,0,0,45.0,22.761904761904763,119,0.5,0.45454545454545453,418.2027528027527,268,3564
vtex/toolbelt,https://github.com/vtex/toolbelt,2,70,22,101,1026,25,0,0,41,14,41,2331,3515,2451.08,False,True,False,True,223,0,0,55.56,335.5733333333333,631,0.44,0.5454545454545454,68.7,2,2373
